"","cluster_assignment","id","name","IBU","ABV","SRM"
"64","8","1unO6C","Autumn Ale",-0.917237494658861,-0.497525076571368,-0.490867841299042
"65","5","nvfMg1","Avalanche Ale",-0.276103564427435,-0.689916545409079,-0.0543562474233861
"66","4","kLnpDN","Bad Luck Blonde",-0.988474598017909,-1.10218397863275,-0.883728275787133
"67","16","J2UGn1","Baltic Anomaly",-0.157375058829022,0.959153187485588,2.17185288134246
"68","16","Beiqbm","Baltic Joy",-0.157375058829022,0.959153187485588,2.17185288134246
"69","6","YXPOTZ","Bamberg Helles",-0.917237494658861,-0.827339023150302,-0.883728275787133
"70","8","kbyHKb","Banana Stand",-1.34466011481315,-0.772370032053813,-0.0543562474233861
"71","16","bdFoir","Bare Knuckle Stout",0.317538963564627,0.409463276520699,2.17185288134246
"72","7","wRkDGh","Barrel Aged 471 IPA. Aggressive Hoppiness",1.9797380419424,1.37142062070925,-0.534519000686608
"73","10","fGeFvg","Barrel Aged BOTL Cap",-0.561051977863624,0.272040798779476,-0.709123638236871
"74","10","dS3WFU","Barrel Aged Chaka (Merlot)",-0.869746092419496,0.217071807682988,-0.840077116399567
"75","5","18Ki63","Barrel Aged Dale's Pale Ale (Makers Mark)",-0.22861216218807,-0.799854527602057,-0.447216681911477
"76","12","8SiLJi","Barrel Aged Imperial Cherry Stout",1.14863850275351,1.6462655761917,2.17185288134246
"77","1","LMONA6","Barrel Aged Mama's Mama's Little Yella Pils (Tequila)",-0.394832070025847,-0.552494067667857,-0.927379435174699
"78","12","hO6U5X","Barrel Aged Narwhal",1.14863850275351,1.6462655761917,2.17185288134246
"79","18","zLqnaW","Barrel Aged Nuovo Record",-0.751017586821084,0.876699700840855,0.207550708902008
"80","16","DvxCJ2","Barrel Aged Twenty Five",0.0800819523678023,0.546885754261921,2.17185288134246
"81","7","HIwvra","Barrel-Aged Bigfoot (Whiskey Barrels)",1.86100953634399,2.03104851386712,0.120248390126876
"82","15","AZgmir","Barrel-Aged Hoptimum  (Trip in the Woods)",0.911181491556689,0.217071807682988,-0.447216681911477
"83","12","Ydp0k0","Barrel-Aged Ten Fidy",1.14863850275351,1.6462655761917,2.17185288134246
"84","5","PZL75k","Barrel-Aged Thunder Ann",-0.22861216218807,-0.799854527602057,-0.447216681911477
"85","15","4A41PO","Barrel-Aged Torpedo Extra IPA",0.911181491556689,0.217071807682988,-0.447216681911477
"86","7","x7GusT","Batch #2 Barleywine",1.86100953634399,2.03104851386712,0.120248390126876
"87","18","JzR6cK","Bavarian-Styled Doppel Weizen",-0.751017586821084,0.876699700840855,0.207550708902008
"88","15","kvklwS","Bayside Black IPA",0.911181491556689,0.217071807682988,-0.447216681911477
"89","10","3JrTod","Beach Bum Blonde Ale",-0.869746092419496,0.217071807682988,-0.840077116399567
"90","8","9YCuGj","Bearsharktopus",-0.751017586821084,-0.827339023150302,-0.534519000686608
"91","17","ZQkBoF","Bearwalker Barrel Aged Double Maple",-0.276103564427435,-0.717401040957324,0.469457665227401
"92","17","Nl1CJp","Bearwalker Brown",-0.276103564427435,-0.717401040957324,0.469457665227401
"93","6","Jyj4KZ","Bearwalker Maple Nut (Eagle Rare Barrel Aged)",-1.29716871257378,-0.827339023150302,-1.0583329133374
"94","18","2rqlKs","Beer Camp 013: Old Cantankerous",0.317538963564627,0.546885754261921,0.513108824614967
"95","7","7iFx4r","Beer Camp Across America",1.9797380419424,1.37142062070925,-0.534519000686608
"96","15","6mTebP","Beer Camp Golden IPA",0.911181491556689,0.217071807682988,-0.447216681911477
"97","13","pTHBWA","Beer Camp Hoppy Lager",-1.51088002265092,-1.15715296972923,-1.0583329133374
"98","15","pGqazY","Beer Camp Tropical IPA",0.911181491556689,0.217071807682988,-0.447216681911477
"99","1","ZK2Swv","Beer Camp: Atlantic-Style Vintage Ale",-0.513560575624259,-0.827339023150302,-0.883728275787133
"100","17","BdlH6M","Beer Camp: Campout Porter",-0.751017586821084,-0.689916545409079,1.08057389665332
"101","4","QHCtPE","Beer Camp: Dry Hopped Belgian Golden",-0.988474598017909,-1.10218397863275,-0.883728275787133
"102","7","nxU5Fn","Beer Camp: Dry-Hopped Barleywine-Style Ale",1.86100953634399,2.03104851386712,0.120248390126876
